PS C:\Users\pdaniel\OfflineHub_wustl\GitHubTown\chargeRateWidget> python .\charge_rate_widget.py
Monitoring battery. Press Ctrl+C to stop.

[2025-06-16 16:53:48] Discharging | Rate: 0 mW | Remaining: 46512 mWh | Voltage: 12278 mV
[2025-06-16 16:53:53] Discharging | Rate: 0 mW | Remaining: 46512 mWh | Voltage: 12278 mV
[2025-06-16 16:53:58] Discharging | Rate: 0 mW | Remaining: 46512 mWh | Voltage: 12278 mV
[2025-06-16 16:54:03] Discharging | Rate: 0 mW | Remaining: 46512 mWh | Voltage: 12278 mV
[2025-06-16 16:54:08] Discharging | Rate: 0 mW | Remaining: 46375 mWh | Voltage: 12182 mV
[2025-06-16 16:54:13] Discharging | Rate: 0 mW | Remaining: 46375 mWh | Voltage: 12182 mV
[2025-06-16 16:54:18] Discharging | Rate: 0 mW | Remaining: 46375 mWh | Voltage: 12182 mV
[2025-06-16 16:54:23] Discharging | Rate: 0 mW | Remaining: 46375 mWh | Voltage: 12182 mV
[2025-06-16 16:54:28] Discharging | Rate: 0 mW | Remaining: 46261 mWh | Voltage: 12246 mV
[2025-06-16 16:54:33] Discharging | Rate: 0 mW | Remaining: 46261 mWh | Voltage: 12246 mV
[2025-06-16 16:54:38] Discharging | Rate: 0 mW | Remaining: 46204 mWh | Voltage: 12236 mV
[2025-06-16 16:54:43] Discharging | Rate: 0 mW | Remaining: 46204 mWh | Voltage: 12236 mV
[2025-06-16 16:54:48] Discharging | Rate: 0 mW | Remaining: 46204 mWh | Voltage: 12236 mV
[2025-06-16 16:54:53] Discharging | Rate: 0 mW | Remaining: 46204 mWh | Voltage: 12236 mV
[2025-06-16 16:54:58] Discharging | Rate: 0 mW | Remaining: 46124 mWh | Voltage: 12216 mV
[2025-06-16 16:55:03] Discharging | Rate: 0 mW | Remaining: 46124 mWh | Voltage: 12216 mV
[2025-06-16 16:55:08] Discharging | Rate: 0 mW | Remaining: 46079 mWh | Voltage: 12344 mV
[2025-06-16 16:55:13] Discharging | Rate: 0 mW | Remaining: 46079 mWh | Voltage: 12344 mV
Traceback (most recent call last):
  File "C:\Users\pdaniel\OfflineHub_wustl\GitHubTown\chargeRateWidget\charge_rate_widget.py", line 38, in <module> 
    log_battery_status(interval=5)  # You can change this to 1 if you want faster updates
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\pdaniel\OfflineHub_wustl\GitHubTown\chargeRateWidget\charge_rate_widget.py", line 35, in log_battery_status
    time.sleep(interval)
KeyboardInterrupt
